run,query_name,attribute,swap_type,swap_index,log_prob
0,e0,a0,entity,0,-0.008650568313896656
0,e0,a1,entity,0,-8.719812393188477
0,e0,a0',entity,0,-24.328590393066406
0,e0,a1',entity,0,-16.911081314086914
0,e0,a0,entity,1,-0.003285250859335065
0,e0,a1,entity,1,-10.097341537475586
0,e0,a0',entity,1,-25.165203094482422
0,e0,a1',entity,1,-18.06854820251465
0,e0,a0,attribute,0,-4.406024932861328
0,e0,a1,attribute,0,-4.2889862060546875
0,e0,a0',attribute,0,-12.03216552734375
0,e0,a1',attribute,0,-15.951070785522461
0,e0,a0,attribute,1,-0.003044614801183343
0,e0,a1,attribute,1,-14.318425178527832
0,e0,a0',attribute,1,-24.136505126953125
0,e0,a1',attribute,1,-13.855562210083008
0,e1,a0,entity,0,-4.785569190979004
0,e1,a1,entity,0,-0.13014864921569824
0,e1,a0',entity,0,-17.032623291015625
0,e1,a1',entity,0,-16.502958297729492
0,e1,a0,entity,1,-1.310078740119934
0,e1,a1,entity,1,-0.5903483629226685
0,e1,a0',entity,1,-13.925471305847168
0,e1,a1',entity,1,-14.235064506530762
0,e1,a0,attribute,0,-11.84592056274414
0,e1,a1,attribute,0,-0.1323246955871582
0,e1,a0',attribute,0,-12.655506134033203
0,e1,a1',attribute,0,-18.893814086914062
0,e1,a0,attribute,1,-0.6576266288757324
0,e1,a1,attribute,1,-6.2203192710876465
0,e1,a0',attribute,1,-12.189931869506836
0,e1,a1',attribute,1,-5.148671627044678
0,e0',a0,entity,0,-0.3879068195819855
0,e0',a1,entity,0,-2.1052777767181396
0,e0',a0',entity,0,-16.523075103759766
0,e0',a1',entity,0,-14.476266860961914
0,e0',a0,entity,1,-0.6397523880004883
0,e0',a1,entity,1,-1.8020029067993164
0,e0',a0',entity,1,-13.399107933044434
0,e0',a1',entity,1,-13.555123329162598
0,e0',a0,attribute,0,-8.521224975585938
0,e0',a1,attribute,0,-1.4010591506958008
0,e0',a0',attribute,0,-9.713763236999512
0,e0',a1',attribute,0,-16.16231346130371
0,e0',a0,attribute,1,-0.30757734179496765
0,e0',a1,attribute,1,-5.776994705200195
0,e0',a0',attribute,1,-13.0242919921875
0,e0',a1',attribute,1,-7.861367225646973
0,e1',a0,entity,0,-1.9245113134384155
0,e1',a1,entity,0,-2.5701346397399902
0,e1',a0',entity,0,-14.165427207946777
0,e1',a1',entity,0,-13.640890121459961
0,e1',a0,entity,1,-6.056457996368408
0,e1',a1,entity,1,-3.5977845191955566
0,e1',a0',entity,1,-18.79780387878418
0,e1',a1',entity,1,-18.730674743652344
0,e1',a0,attribute,0,-11.327566146850586
0,e1',a1,attribute,0,-4.411655426025391
0,e1',a0',attribute,0,-11.980766296386719
0,e1',a1',attribute,0,-19.096336364746094
0,e1',a0,attribute,1,-0.45046675205230713
0,e1',a1,attribute,1,-8.756429672241211
0,e1',a0',attribute,1,-13.674065589904785
0,e1',a1',attribute,1,-8.547148704528809
1,e0,a0,entity,0,-0.2407098263502121
1,e0,a1,entity,0,-10.080620765686035
1,e0,a0',entity,0,-12.881495475769043
1,e0,a1',entity,0,-15.849508285522461
1,e0,a0,entity,1,-0.00946191605180502
1,e0,a1,entity,1,-13.897294044494629
1,e0,a0',entity,1,-15.851276397705078
1,e0,a1',entity,1,-19.195377349853516
1,e0,a0,attribute,0,-1.9561316967010498
1,e0,a1,attribute,0,-10.04370403289795
1,e0,a0',attribute,0,-3.4738051891326904
1,e0,a1',attribute,0,-14.436530113220215
1,e0,a0,attribute,1,-0.008867409080266953
1,e0,a1,attribute,1,-15.87779426574707
1,e0,a0',attribute,1,-16.286359786987305
1,e0,a1',attribute,1,-15.255867004394531
1,e1,a0,entity,0,-8.024219512939453
1,e1,a1,entity,0,-0.05457814782857895
1,e1,a0',entity,0,-14.889479637145996
1,e1,a1',entity,0,-18.911787033081055
1,e1,a0,entity,1,-7.052496910095215
1,e1,a1,entity,1,-0.015185226686298847
1,e1,a0',entity,1,-14.870925903320312
1,e1,a1',entity,1,-18.497201919555664
1,e1,a0,attribute,0,-11.949610710144043
1,e1,a1,attribute,0,-0.10649867355823517
1,e1,a0',attribute,0,-12.060397148132324
1,e1,a1',attribute,0,-19.339521408081055
1,e1,a0,attribute,1,-4.55057954788208
1,e1,a1,attribute,1,-0.06530997157096863
1,e1,a0',attribute,1,-12.025406837463379
1,e1,a1',attribute,1,-6.3096022605896
1,e0',a0,entity,0,-0.3355371654033661
1,e0',a1,entity,0,-4.397603988647461
1,e0',a0',entity,0,-15.019390106201172
1,e0',a1',entity,0,-20.310115814208984
1,e0',a0,entity,1,-1.3829069137573242
1,e0',a1,entity,1,-1.7269048690795898
1,e0',a0',entity,1,-11.77083683013916
1,e0',a1',entity,1,-16.2147274017334
1,e0',a0,attribute,0,-4.036556243896484
1,e0',a1,attribute,0,-0.5800945162773132
1,e0',a0',attribute,0,-5.577611923217773
1,e0',a1',attribute,0,-15.096657752990723
1,e0',a0,attribute,1,-0.29877325892448425
1,e0',a1,attribute,1,-4.801790714263916
1,e0',a0',attribute,1,-12.032407760620117
1,e0',a1',attribute,1,-9.225362777709961
1,e1',a0,entity,0,-0.7282573580741882
1,e1',a1,entity,0,-2.202986001968384
1,e1',a0',entity,0,-9.302313804626465
1,e1',a1',entity,0,-13.03815746307373
1,e1',a0,entity,1,-0.6661279797554016
1,e1',a1,entity,1,-3.4732720851898193
1,e1',a0',entity,1,-10.46819019317627
1,e1',a1',entity,1,-14.079097747802734
1,e1',a0,attribute,0,-1.540696144104004
1,e1',a1,attribute,0,-2.198657989501953
1,e1',a0',attribute,0,-4.1005353927612305
1,e1',a1',attribute,0,-12.278416633605957
1,e1',a0,attribute,1,-0.1041145995259285
1,e1',a1,attribute,1,-6.389804840087891
1,e1',a0',attribute,1,-10.5296630859375
1,e1',a1',attribute,1,-7.03273868560791
2,e0,a0,entity,0,-0.2673640847206116
2,e0,a1,entity,0,-5.669585704803467
2,e0,a0',entity,0,-10.422582626342773
2,e0,a1',entity,0,-9.695718765258789
2,e0,a0,entity,1,-0.006564007606357336
2,e0,a1,entity,1,-9.807245254516602
2,e0,a0',entity,1,-13.825989723205566
2,e0,a1',entity,1,-13.62535285949707
2,e0,a0,attribute,0,-6.183685779571533
2,e0,a1,attribute,0,-6.615416049957275
2,e0,a0',attribute,0,-0.4122423529624939
2,e0,a1',attribute,0,-10.778398513793945
2,e0,a0,attribute,1,-0.00388712203130126
2,e0,a1,attribute,1,-12.729626655578613
2,e0,a0',attribute,1,-14.586212158203125
2,e0,a1',attribute,1,-12.660510063171387
2,e1,a0,entity,0,-5.863777160644531
2,e1,a1,entity,0,-0.015745364129543304
2,e1,a0',entity,0,-14.564957618713379
2,e1,a1',entity,0,-13.688925743103027
2,e1,a0,entity,1,-5.4207844734191895
2,e1,a1,entity,1,-0.016735516488552094
2,e1,a0',entity,1,-14.884605407714844
2,e1,a1',entity,1,-13.626440048217773
2,e1,a0,attribute,0,-16.001949310302734
2,e1,a1,attribute,0,-0.021522067487239838
2,e1,a0',attribute,0,-9.157475471496582
2,e1,a1',attribute,0,-14.282175064086914
2,e1,a0,attribute,1,-1.1936596632003784
2,e1,a1,attribute,1,-0.8023594617843628
2,e1,a0',attribute,1,-10.506729125976562
2,e1,a1',attribute,1,-2.1672773361206055
2,e0',a0,entity,0,-0.9156996011734009
2,e0',a1,entity,0,-1.6799017190933228
2,e0',a0',entity,0,-10.930586814880371
2,e0',a1',entity,0,-6.986605167388916
2,e0',a0,entity,1,-1.7066441774368286
2,e0',a1,entity,1,-0.8129111528396606
2,e0',a0',entity,1,-10.023825645446777
2,e0',a1',entity,1,-6.230584144592285
2,e0',a0,attribute,0,-7.714250087738037
2,e0',a1,attribute,0,-1.1507954597473145
2,e0',a0',attribute,0,-2.6139721870422363
2,e0',a1',attribute,0,-5.766164302825928
2,e0',a0,attribute,1,-0.29910266399383545
2,e0',a1,attribute,1,-4.432595252990723
2,e0',a0',attribute,1,-9.781853675842285
2,e0',a1',attribute,1,-2.941488265991211
2,e1',a0,entity,0,-5.409070014953613
2,e1',a1,entity,0,-0.9137945175170898
2,e1',a0',entity,0,-14.715910911560059
2,e1',a1',entity,0,-12.075935363769531
2,e1',a0,entity,1,-4.435156345367432
2,e1',a1,entity,1,-0.4956347346305847
2,e1',a0',entity,1,-14.838268280029297
2,e1',a1',entity,1,-12.45641803741455
2,e1',a0,attribute,0,-12.472298622131348
2,e1',a1,attribute,0,-0.6664307117462158
2,e1',a0',attribute,0,-8.123929977416992
2,e1',a1',attribute,0,-12.072949409484863
2,e1',a0,attribute,1,-1.5253257751464844
2,e1',a1,attribute,1,-4.634076118469238
2,e1',a0',attribute,1,-12.516077995300293
2,e1',a1',attribute,1,-2.9966487884521484
3,e0,a0,entity,0,-0.15086540579795837
3,e0,a1,entity,0,-7.224032402038574
3,e0,a0',entity,0,-8.452319145202637
3,e0,a1',entity,0,-14.384944915771484
3,e0,a0,entity,1,-0.43538346886634827
3,e0,a1,entity,1,-10.965776443481445
3,e0,a0',entity,1,-9.853957176208496
3,e0,a1',entity,1,-16.021709442138672
