run_id,condition,query_entity_idx,max_logprob_token,max_logprob,a1_token,a1_logprob,a2_token,a2_logprob,correct_answer
0,control,0, Nigeria,-0.7500061392784119,Ab,-9.966897010803223,Lux,-8.540509223937988,a1
0,attribute,0,"
",-2.3080263137817383,Ab,-10.121718406677246,Lux,-13.27694034576416,a1
0,entity,0, Luxembourg,-2.092944383621216,Ab,-9.648344039916992,Lux,-7.766034126281738,a1
0,both,0, Luxembourg,-2.092944383621216,Ab,-9.648344039916992,Lux,-7.766034126281738,a1
0,control,1, Luxembourg,-0.42648011445999146,Ab,-12.471419334411621,Lux,-6.954277038574219,a2
0,attribute,1,"
",-2.6586873531341553,Ab,-11.924997329711914,Lux,-12.864744186401367,a2
0,entity,1, Luxembourg,-0.8834264278411865,Ab,-12.110977172851562,Lux,-7.729175567626953,a2
0,both,1, Luxembourg,-0.8834264278411865,Ab,-12.110977172851562,Lux,-7.729175567626953,a2
1,control,0, K,-0.6862877011299133,K,-8.878989219665527,Singapore,-10.484594345092773,a1
1,attribute,0, K,-1.1284443140029907,K,-9.351309776306152,Singapore,-13.32130241394043,a1
1,entity,0, K,-0.3342137932777405,K,-8.813301086425781,Singapore,-10.990398406982422,a1
1,both,0, K,-0.3342137932777405,K,-8.813301086425781,Singapore,-10.990398406982422,a1
1,control,1, Singapore,-0.15148891508579254,K,-11.889242172241211,Singapore,-7.079391002655029,a2
1,attribute,1,"
",-1.2868871688842773,K,-9.845803260803223,Singapore,-10.282856941223145,a2
1,entity,1, Singapore,-0.6947351098060608,K,-9.529637336730957,Singapore,-6.921122074127197,a2
1,both,1, Singapore,-0.6947351098060608,K,-9.529637336730957,Singapore,-6.921122074127197,a2
2,control,0, Mog,-0.9919160604476929,M,-10.302106857299805,Bel,-10.907429695129395,a1
2,attribute,0,"
",-2.1717748641967773,M,-9.615652084350586,Bel,-11.423283576965332,a1
2,entity,0, Mog,-1.0447306632995605,M,-9.83294677734375,Bel,-10.688398361206055,a1
2,both,0, Mog,-1.0447306632995605,M,-9.83294677734375,Bel,-10.688398361206055,a1
2,control,1, Bel,-0.4488094747066498,M,-13.771307945251465,Bel,-8.083117485046387,a2
2,attribute,1, Bel,-1.1111551523208618,M,-12.973322868347168,Bel,-8.939054489135742,a2
2,entity,1, Bel,-0.6716071963310242,M,-12.910820007324219,Bel,-8.249621391296387,a2
2,both,1, Bel,-0.6716071963310242,M,-12.910820007324219,Bel,-8.249621391296387,a2
3,control,0, Madrid,-1.0760438442230225,Mad,-9.08044147491455,K,-12.234912872314453,a1
3,attribute,0,"
",-1.269757628440857,Mad,-7.475461483001709,K,-10.182671546936035,a1
3,entity,0, Madrid,-1.1064660549163818,Mad,-8.20528507232666,K,-11.576871871948242,a1
3,both,0, Madrid,-1.1064660549163818,Mad,-8.20528507232666,K,-11.576871871948242,a1
3,control,1, Kuala,-0.3605586886405945,Mad,-15.484711647033691,K,-9.504457473754883,a2
3,attribute,1,"
",-1.2865509986877441,Mad,-13.358970642089844,K,-7.69716215133667,a2
3,entity,1, Kuala,-0.9114543199539185,Mad,-13.73509693145752,K,-8.539463996887207,a2
3,both,1, Kuala,-0.9114543199539185,Mad,-13.73509693145752,K,-8.539463996887207,a2
4,control,0, Mog,-0.874838650226593,M,-9.392497062683105,Br,-12.313637733459473,a1
4,attribute,0, Mog,-2.0222320556640625,M,-8.611760139465332,Br,-11.402172088623047,a1
4,entity,0, Mog,-0.7337402105331421,M,-9.140372276306152,Br,-12.344747543334961,a1
4,both,0, Mog,-0.7337402105331421,M,-9.140372276306152,Br,-12.344747543334961,a1
